package|author|rank.a|rank.m|n.roles|total.authors|total.roles|total.extra|total.extra2|cph
bimets|Andrea Luciani|1|1|3|3|5|0|0|0
bimets|Roberto Stok|2|NA|1|3|5|0|0|0
bimets|Bank of Italy|3|NA|1|3|5|0|0|1
bipartite|Carsten F. Dormann|1|1|2|14|16|0|0|0
bipartite|Jochen Fruend|2|NA|1|14|16|0|0|0
bipartite|Bernd Gruber|3|NA|1|14|16|0|0|0
bipartite|Stephen Beckett|4|NA|1|14|16|0|0|0
bipartite|Mariano Devoto|5|NA|1|14|16|0|0|0
bipartite|Gabriel Felix|6|NA|1|14|16|0|0|0
bipartite|Jose Iriondo|7|NA|1|14|16|0|0|0
bipartite|Tove Opsahl|8|NA|1|14|16|0|0|0
bipartite|Rafael Pinheiro|9|NA|1|14|16|0|0|0
bipartite|Rouven Strauss|10|NA|2|14|16|0|0|0
bipartite|Diego Vazquez|11|NA|1|14|16|0|0|0
bipartite|Nils Bluethgen|12|NA|1|14|16|0|0|0
bipartite|Aaron Clauset|13|NA|1|14|16|0|0|0
bipartite|Miguel Rodriguez-Girones|15|NA|1|14|16|0|0|0
cachem|Winston Chang|1|1|3|2|5|0|0|0
cachem|RStudio|2|NA|2|2|5|0|0|1
CARBayesST|Duncan Lee|1|1|2|3|4|0|0|0
CARBayesST|Alastair Rushworth|2|NA|1|3|4|0|0|0
CARBayesST|Gary Napier|3|NA|1|3|4|0|0|0
clinmon|Markus Harboe Olsen|1|1|3|4|6|0|0|0
clinmon|Christian Riberholt|2|NA|1|4|6|0|0|0
clinmon|Ronan Berg|3|NA|1|4|6|0|0|0
clinmon|Kirsten Moeller|4|NA|1|4|6|0|0|0
envalysis|Zacharias Steinmetz|1|1|3|1|3|0|0|0
EpiReport|Lore Merdrignac|1|1|4|4|10|0|0|0
EpiReport|Tommi Karki|2|NA|2|4|10|0|0|0
EpiReport|Esther Kissling|3|NA|2|4|10|0|0|0
EpiReport|Joana Gomes Dias|4|NA|2|4|10|0|0|0
gateR|Ian D. Buller|1|1|4|5|8|0|0|1
gateR|Elena Hsieh|2|NA|1|5|8|0|0|0
gateR|Debashis Ghosh|3|NA|1|5|8|0|0|0
gateR|Lance A. Waller|4|NA|1|5|8|0|0|0
gateR|NCI|5|NA|1|5|8|0|0|1
gromovlab|Volkmar Liebscher|1|1|2|1|2|0|0|0
gWQS|Stefano Renzetti|1|1|2|5|6|0|0|0
gWQS|Paul Curtin|2|NA|1|5|6|0|0|0
gWQS|Allan C Just|3|NA|1|5|6|0|0|0
gWQS|Ghalib Bello|4|NA|1|5|6|0|0|0
gWQS|Chris Gennings|5|NA|1|5|6|0|0|0
inum|Torsten Hothorn|1|1|3|1|3|0|0|0
landscapemetrics|Maximillian H.K. Hesselbarth|1|1|3|10|12|0|0|0
landscapemetrics|Marco Sciaini|2|NA|1|10|12|0|0|0
landscapemetrics|Jakub Nowosad|3|NA|1|10|12|0|0|0
landscapemetrics|Sebastian Hanss|4|NA|1|10|12|0|0|0
landscapemetrics|Laura J. Graham|5|NA|1|10|12|0|0|0
landscapemetrics|Jeffrey Hollister|6|NA|1|10|12|0|0|0
landscapemetrics|Kimberly A. With|7|NA|1|10|12|0|0|0
landscapemetrics|Florian Privé|8|NA|1|10|12|0|0|0
landscapemetrics|Project Nayuki|9|NA|1|10|12|0|0|0
landscapemetrics|Matt Strimas-Mackey|10|NA|1|10|12|0|0|0
linkcomm|Alex T. Kalinka|1|1|2|2|3|0|0|0
linkcomm|Alain Guenoche|2|NA|1|2|3|0|0|0
MolgenisArmadillo|Sido Haakma|1|NA|1|4|6|0|0|0
MolgenisArmadillo|Tommy de Boer|2|NA|1|4|6|0|0|0
MolgenisArmadillo|Fleur Kelpin|3|1|3|4|6|0|0|0
MolgenisArmadillo|Morris Swertz|4|NA|1|4|6|0|0|0
morse|Virgile Baudrot|1|NA|1|11|12|0|0|0
morse|Sandrine Charles|2|NA|1|11|12|0|0|0
morse|Marie Laure Delignette-Muller|3|NA|1|11|12|0|0|0
morse|Wandrille Duchemin|4|NA|1|11|12|0|0|0
morse|Benoit Goussen|5|NA|1|11|12|0|0|0
morse|Nils Kehrein|6|NA|1|11|12|0|0|0
morse|Guillaume Kon-Kam-King|7|NA|1|11|12|0|0|0
morse|Christelle Lopes|8|NA|1|11|12|0|0|0
morse|Philippe Ruiz|9|NA|1|11|12|0|0|0
morse|Alexander Singer|10|NA|1|11|12|0|0|0
morse|Philippe Veber|11|1|2|11|12|0|0|0
networktree|Payton Jones|1|1|3|3|5|0|0|0
networktree|Thorsten Simon|2|NA|1|3|5|0|0|0
networktree|Achim Zeileis|3|NA|1|3|5|0|0|0
nlme|José Pinheiro|1|NA|1|9|11|0|0|0
nlme|Douglas Bates|2|NA|1|9|11|0|0|0
nlme|Saikat DebRoy|3|NA|1|9|11|0|0|0
nlme|Deepayan Sarkar|4|NA|1|9|11|0|0|0
nlme|EISPACK authors|5|NA|1|9|11|0|0|0
nlme|Siem Heisterkamp|6|NA|1|9|11|0|0|0
nlme|Bert Van Willigen|7|NA|1|9|11|0|0|0
nlme|Johannes Ranke|8|NA|1|9|11|0|0|0
nlme|R-core|9|1|3|9|11|0|0|0
NNS|Fred Viole|1|1|2|1|2|0|0|0
OUwie|Jeremy M. Beaulieu|1|NA|1|3|3|0|0|0
OUwie|Brian O'Meara|2|NA|1|3|3|0|0|0
OUwie|Jeremy Beaulieu|NA|1|1|3|3|0|0|0
PKI|Simon Urbanek|1|1|2|1|2|0|0|0
RaJIVE|Erica Ponzi|1|1|3|2|4|0|0|0
RaJIVE|Abhik Ghosh|2|NA|1|2|4|0|0|0
ridge|Steffen Moritz|1|1|3|3|5|0|0|0
ridge|Erika Cule|2|NA|1|3|5|0|0|0
ridge|Dan Frankowski|3|NA|1|3|5|0|0|0
RMSNumpress|Justin Sing|1|1|3|2|4|0|0|0
RMSNumpress|Johan Teleman|2|NA|1|2|4|0|0|0
robslopes|Jakob Raymaekers|1|1|2|1|2|0|0|0
RXshrink|Bob Obenchain|1|1|2|1|2|0|0|0
sassy|David J. Bosak|1|NA|1|2|2|0|0|0
sassy|David Bosak|NA|1|1|2|2|0|0|0
see|Daniel Lüdecke|1|1|3|6|10|0|0|0
see|Dominique Makowski|2|NA|2|6|10|0|0|0
see|Philip Waggoner|3|NA|2|6|10|0|0|0
see|Mattan S. Ben-Shachar|4|NA|1|6|10|0|0|0
see|Brenton M. Wiernik|5|NA|1|6|10|0|0|0
see|Jeffrey R. Stevens|6|NA|1|6|10|0|0|0
SimBIID|Trevelyan J. McKinley|1|1|3|5|7|0|0|0
SimBIID|Stefan Widgren|2|NA|1|5|7|0|0|0
SimBIID|Pavol Bauer|3|NA|1|5|7|0|0|1
SimBIID|Robin Eriksson|4|NA|1|5|7|0|0|1
SimBIID|Stefan Engblom|5|NA|1|5|7|0|0|1
SteppedPower|Philipp Mildenberger|1|1|3|2|4|0|0|0
SteppedPower|Federico Marini|2|NA|1|2|4|0|0|0
subscreen|Bodo Kirsch|1|1|2|6|7|0|0|0
subscreen|Steffen Jeske|2|NA|1|6|7|0|0|0
subscreen|Susanne Lippert|3|NA|1|6|7|0|0|0
subscreen|Thomas Schmelter|4|NA|1|6|7|0|0|0
subscreen|Christoph Muysers|5|NA|1|6|7|0|0|0
subscreen|Hermann Kulmann|6|NA|1|6|7|0|0|0
tramME|Balint Tamasi|1|1|3|2|4|0|0|0
tramME|Torsten Hothorn|2|NA|1|2|4|0|0|0
winfapReader|Ilaria Prosdocimi|1|1|3|2|4|0|0|0
winfapReader|Luke Shaw|2|NA|1|2|4|0|0|0
xgxr|Andrew Stein|1|1|3|6|9|0|0|0
xgxr|Alison Margolskee|2|NA|1|6|9|0|0|0
xgxr|Fariba Khanshan|3|NA|1|6|9|0|0|0
xgxr|Konstantin Krismer|4|NA|1|6|9|0|0|0
xgxr|Matthew Fidler|5|NA|1|6|9|0|0|0
xgxr|Novartis Pharma AG|6|NA|2|6|9|0|0|1
actuar|Vincent Goulet|1|1|3|14|16|0|0|0
actuar|Sébastien Auclair|2|NA|1|14|16|0|0|0
actuar|Christophe Dutang|3|NA|1|14|16|0|0|0
actuar|Nicholas Langevin|4|NA|1|14|16|0|0|0
actuar|Xavier Milhaud|5|NA|1|14|16|0|0|0
actuar|Tommy Ouellet|6|NA|1|14|16|0|0|0
actuar|Alexandre Parent|7|NA|1|14|16|0|0|0
actuar|Mathieu Pigeon|8|NA|1|14|16|0|0|0
actuar|Louis-Philippe Pouliot|9|NA|1|14|16|0|0|0
actuar|Jeffrey A. Ryan|10|NA|1|14|16|0|0|0
actuar|Robert Gentleman|11|NA|1|14|16|0|0|0
actuar|Ross Ihaka|12|NA|1|14|16|0|0|0
actuar|R Core Team|13|NA|1|14|16|0|0|0
actuar|R Foundation|14|NA|1|14|16|0|0|0
analogsea|Scott Chamberlain|1|1|3|6|8|0|0|0
analogsea|Hadley Wickham|2|NA|1|6|8|0|0|0
analogsea|Winston Chang|3|NA|1|6|8|0|0|0
analogsea|Bob Rudis|4|NA|1|6|8|0|0|0
analogsea|Bryce Mecum|5|NA|1|6|8|0|0|0
analogsea|RStudio|6|NA|1|6|8|0|0|1
asciiSetupReader|Jacob Kaplan|1|1|3|1|3|0|0|0
bbl|Jun Woo|1|1|3|1|3|0|0|0
CARBayes|Duncan Lee|1|1|2|1|2|0|0|0
ckanr|Scott Chamberlain|1|1|3|5|7|0|0|0
ckanr|Imanuel Costigan|2|NA|1|5|7|0|0|0
ckanr|Wush Wu|3|NA|1|5|7|0|0|0
ckanr|Florian Mayer|4|NA|1|5|7|0|0|0
ckanr|Sharla Gelfand|5|NA|1|5|7|0|0|0
combinedevents|Katie Frank|1|1|3|1|3|0|0|0
corpustools|Kasper Welbers|1|1|2|2|3|0|0|0
corpustools|Wouter van Atteveldt|2|NA|1|2|3|0|0|0
crimeutils|Jacob Kaplan|1|1|3|1|3|0|0|0
dbplyr|Hadley Wickham|1|1|3|4|7|0|0|0
dbplyr|Maximilian Girlich|2|NA|1|4|7|0|0|0
dbplyr|Edgar Ruiz|3|NA|1|4|7|0|0|0
dbplyr|RStudio|4|NA|2|4|7|0|0|1
DescTools|Andri Signorell|1|1|3|116|118|0|0|0
DescTools|Ken Aho|2|NA|1|116|118|0|0|0
DescTools|Andreas Alfons|3|NA|1|116|118|0|0|0
DescTools|Nanina Anderegg|4|NA|1|116|118|0|0|0
DescTools|Tomas Aragon|5|NA|1|116|118|0|0|0
DescTools|Chandima Arachchige|6|NA|1|116|118|0|0|0
DescTools|Antti Arppe|7|NA|1|116|118|0|0|0
DescTools|Adrian Baddeley|8|NA|1|116|118|0|0|0
DescTools|Kamil Barton|9|NA|1|116|118|0|0|0
DescTools|Ben Bolker|10|NA|1|116|118|0|0|0
DescTools|Hans W. Borchers|11|NA|1|116|118|0|0|0
DescTools|Frederico Caeiro|12|NA|1|116|118|0|0|0
DescTools|Stephane Champely|13|NA|1|116|118|0|0|0
DescTools|Daniel Chessel|14|NA|1|116|118|0|0|0
DescTools|Leanne Chhay|15|NA|1|116|118|0|0|0
