svn.id|username|date|lines.edited|description
r79997|urbaneks|2021-02-12 15:13:32|1|fix context memory mgmt in Cocoa Quartz (fixes live drawing in Big Sur)
r79996|kalibera|2021-02-12 04:27:23|4|Fix usage help for Rterm: it does not support <,> redirection arguments, [n] those are implemented by the shell.  Related to 77926, before which [n] redirection arguments were interpreted by a shell used internally in R.exe.
r79995|kalibera|2021-02-12 03:07:03|2|comment
r79994|ripley|2021-02-12 01:49:24|1|update
r79993|ripley|2021-02-12 01:40:27|1|submitted fr updates
r79992|ripley|2021-02-12 01:27:25|1|update the translations templates
r79991|ripley|2021-02-11 23:59:23|1|update for macOS
r79990|ripley|2021-02-11 11:39:04|1|remove a couple of references to Fortran 77
r79989|ripley|2021-02-11 03:59:04|1|add comment
r79988|murrell|2021-02-10 12:30:00|1|added mention of grSoftVersion() to ?capabilities (thanks to Dirk Eddelbuettel, PR # 18056)
r79987|ripley|2021-02-10 11:44:31|1|updates
r79986|hornik|2021-02-10 11:38:35|1|Add 'tinytest' to list of test-suite packages.
r79985|hornik|2021-02-10 11:36:54|1|Document fixing PR#18048 and PR#18053.
r79984|hornik|2021-02-10 11:35:35|1|Spelling.
r79983|kalibera|2021-02-10 03:45:48|3|Remove package-specific hack (the package no longer maintainer on CRAN). [n] From Sebastian Meyer.
r79981|ripley|2021-02-10 00:41:57|1|bug fix for cairo-based graphics on macOS, code clean up
r79980|ripley|2021-02-09 22:37:56|1|exclude Windows which has cairo-ft but incorrect paths
r79979|pd|2021-02-09 16:21:08|1|maintainer-mode changes
r79977|maechler|2021-02-09 12:50:57|1|cross \link{}; less #ifdef; cosmetic
r79976|ripley|2021-02-09 09:42:30|1|tweaks to cairo support including how cairoFT is reported
r79975|ripley|2021-02-09 03:41:51|1|typo
r79974|ripley|2021-02-09 03:13:35|1|make uses of static cairo available on all platforms and optional on macOS
r79973|ripley|2021-02-09 00:56:50|1|add comments
r79972|ripley|2021-02-09 00:16:40|1|update comments
r79971|maechler|2021-02-08 08:45:17|2|\link{basename} and dirname in `See Also`; [n] thanks to Michael Chirico, PR # 18049
r79970|ripley|2021-02-08 08:15:24|1|update
r79969|kalibera|2021-02-08 07:51:06|3|Improve detection of translation domain (protect fix, avoid unnecessary [n] copy).
r79967|ripley|2021-02-08 06:55:19|1|updates, including for yesterday's hyperref update
r79966|maechler|2021-02-08 06:45:53|2|only if(<NLS>); set LC_CTYPE also on Windows; 4x4 grepl-statistics; [n] re-activate test
r79965|kalibera|2021-02-08 05:30:04|2|Improve error messages from Renviron processing, mbcs-aware truncation.
r79963|hornik|2021-02-07 09:20:03|1|Correction.  By Duncan Murdoch <murdoch.duncan@gmail.com>.
r79962|hornik|2021-02-07 09:17:31|1|Fix PR#18053 and more.  Thanks to Christopher Carbone.
r79961|ripley|2021-02-07 08:19:31|1|allow for pangocairo builds on Homebrew
r79960|hornik|2021-02-07 04:57:42|1|Add gregexec().  From Brodie Gaslam.
r79959|hornik|2021-02-07 04:50:19|1|Fix PR#18044.  By Sebastian Meyer.
r79958|hornik|2021-02-07 04:47:57|1|Fix PR#17822.  Thanks to Michael Chirico and Sebastian Meyer.
r79957|hornik|2021-02-07 04:44:46|1|Fix PR#18048.  Patch by Sebastian Meyer <seb.meyer@fau.de>.
r79956|hornik|2021-02-07 04:42:21|1|Fix PR#16408.  Thanks to Benjamin Tyner <btyner@gmail.com>.
r79955|ripley|2021-02-07 03:26:23|1|apply patch from Brodie Gaslam
r79954|hornik|2021-02-07 01:46:15|1|Spelling.
r79952|ripley|2021-02-06 13:04:46|1|update
r79950|ripley|2021-02-06 03:10:06|1|Updates for XQuartz betas
r79948|ripley|2021-02-06 00:21:31|1|mention endian.h
r79947|maechler|2021-02-05 08:43:06|1|typo
r79946|maechler|2021-02-05 07:19:38|2|disable test for now: despite all efforts, is still too platform dependent
r79945|maechler|2021-02-05 02:43:15|1|improve, using R_alloc()
r79944|maechler|2021-02-05 00:26:55|1|using "é" in grep pattern fails on Windows
r79942|maechler|2021-02-04 23:57:52|1|the *code* for 79936: detect translation domain (PR17998)
r79941|pd|2021-02-04 16:20:01|1|maintainer-mode changes
r79936|maechler|2021-02-04 12:25:59|1|find translation domain e.g. for base-errors in top-level functions
r79935|maechler|2021-02-04 12:13:13|1|clarify process_Renviron() "logic"
r79934|kalibera|2021-02-04 01:01:57|2|Increase buffer size in Renviron processing (PR#18001).
